timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1770599400000,2026-02-09T01:10:00Z,1788-1-1-GV,,device_not_recording
1770599460000,2026-02-09T01:11:00Z,1788-1-1-GV,,device_not_recording
1770599520000,2026-02-09T01:12:00Z,1788-1-1-GV,,device_not_recording
1770599580000,2026-02-09T01:13:00Z,1788-1-1-GV,,device_not_recording
1770599640000,2026-02-09T01:14:00Z,1788-1-1-GV,,device_not_recording
1770599700000,2026-02-09T01:15:00Z,1788-1-1-GV,,device_not_recording
1770599760000,2026-02-09T01:16:00Z,1788-1-1-GV,,device_not_recording
1770599820000,2026-02-09T01:17:00Z,1788-1-1-GV,,device_not_recording
1770599880000,2026-02-09T01:18:00Z,1788-1-1-GV,,device_not_recording
1770599940000,2026-02-09T01:19:00Z,1788-1-1-GV,,device_not_recording
1770600000000,2026-02-09T01:20:00Z,1788-1-1-GV,,device_not_recording
1770600060000,2026-02-09T01:21:00Z,1788-1-1-GV,,device_not_recording
1770600120000,2026-02-09T01:22:00Z,1788-1-1-GV,,device_not_recording
1770600180000,2026-02-09T01:23:00Z,1788-1-1-GV,,device_not_recording
1770600240000,2026-02-09T01:24:00Z,1788-1-1-GV,,device_not_recording
1770600300000,2026-02-09T01:25:00Z,1788-1-1-GV,,device_not_recording
1770600360000,2026-02-09T01:26:00Z,1788-1-1-GV,,device_not_recording
1770600420000,2026-02-09T01:27:00Z,1788-1-1-GV,,device_not_recording
1770600480000,2026-02-09T01:28:00Z,1788-1-1-GV,,device_not_recording
1770600540000,2026-02-09T01:29:00Z,1788-1-1-GV,,device_not_recording
1770600600000,2026-02-09T01:30:00Z,1788-1-1-GV,,device_not_recording
1770600660000,2026-02-09T01:31:00Z,1788-1-1-GV,,device_not_recording
1770600720000,2026-02-09T01:32:00Z,1788-1-1-GV,,device_not_recording
1770600780000,2026-02-09T01:33:00Z,1788-1-1-GV,,device_not_recording
1770600840000,2026-02-09T01:34:00Z,1788-1-1-GV,,device_not_recording
1770600900000,2026-02-09T01:35:00Z,1788-1-1-GV,,device_not_recording
1770600960000,2026-02-09T01:36:00Z,1788-1-1-GV,,device_not_recording
1770601020000,2026-02-09T01:37:00Z,1788-1-1-GV,,device_not_recording
1770601080000,2026-02-09T01:38:00Z,1788-1-1-GV,,device_not_recording
1770601140000,2026-02-09T01:39:00Z,1788-1-1-GV,,device_not_recording
1770601200000,2026-02-09T01:40:00Z,1788-1-1-GV,,device_not_recording
1770601260000,2026-02-09T01:41:00Z,1788-1-1-GV,,device_not_recording
1770601320000,2026-02-09T01:42:00Z,1788-1-1-GV,,device_not_recording
1770601380000,2026-02-09T01:43:00Z,1788-1-1-GV,,device_not_recording
1770601440000,2026-02-09T01:44:00Z,1788-1-1-GV,,device_not_recording
1770601500000,2026-02-09T01:45:00Z,1788-1-1-GV,,device_not_recording
1770601560000,2026-02-09T01:46:00Z,1788-1-1-GV,,device_not_recording
1770601620000,2026-02-09T01:47:00Z,1788-1-1-GV,,device_not_recording
1770601680000,2026-02-09T01:48:00Z,1788-1-1-GV,,device_not_recording
1770601740000,2026-02-09T01:49:00Z,1788-1-1-GV,,device_not_recording
1770601800000,2026-02-09T01:50:00Z,1788-1-1-GV,,device_not_recording
1770601860000,2026-02-09T01:51:00Z,1788-1-1-GV,,device_not_recording
1770601920000,2026-02-09T01:52:00Z,1788-1-1-GV,,device_not_recording
1770601980000,2026-02-09T01:53:00Z,1788-1-1-GV,,device_not_recording
1770602040000,2026-02-09T01:54:00Z,1788-1-1-GV,,device_not_recording
1770602100000,2026-02-09T01:55:00Z,1788-1-1-GV,,device_not_recording
1770602160000,2026-02-09T01:56:00Z,1788-1-1-GV,,device_not_recording
1770602220000,2026-02-09T01:57:00Z,1788-1-1-GV,,device_not_recording
1770602280000,2026-02-09T01:58:00Z,1788-1-1-GV,,device_not_recording
1770602340000,2026-02-09T01:59:00Z,1788-1-1-GV,,device_not_recording
1770602400000,2026-02-09T02:00:00Z,1788-1-1-GV,,device_not_recording
1770602460000,2026-02-09T02:01:00Z,1788-1-1-GV,,device_not_recording
1770602520000,2026-02-09T02:02:00Z,1788-1-1-GV,,device_not_recording
1770602580000,2026-02-09T02:03:00Z,1788-1-1-GV,,device_not_recording
1770602640000,2026-02-09T02:04:00Z,1788-1-1-GV,,device_not_recording
1770602700000,2026-02-09T02:05:00Z,1788-1-1-GV,,device_not_recording
1770602760000,2026-02-09T02:06:00Z,1788-1-1-GV,,device_not_recording
1770602820000,2026-02-09T02:07:00Z,1788-1-1-GV,,device_not_recording
1770602880000,2026-02-09T02:08:00Z,1788-1-1-GV,,device_not_recording
1770602940000,2026-02-09T02:09:00Z,1788-1-1-GV,,device_not_recording
1770603000000,2026-02-09T02:10:00Z,1788-1-1-GV,,device_not_recording
1770603060000,2026-02-09T02:11:00Z,1788-1-1-GV,,device_not_recording
1770603120000,2026-02-09T02:12:00Z,1788-1-1-GV,,device_not_recording
1770603180000,2026-02-09T02:13:00Z,1788-1-1-GV,,device_not_recording
1770603240000,2026-02-09T02:14:00Z,1788-1-1-GV,,device_not_recording
1770603300000,2026-02-09T02:15:00Z,1788-1-1-GV,,device_not_recording
1770603360000,2026-02-09T02:16:00Z,1788-1-1-GV,,device_not_recording
1770603420000,2026-02-09T02:17:00Z,1788-1-1-GV,,device_not_recording
1770603480000,2026-02-09T02:18:00Z,1788-1-1-GV,,device_not_recording
1770603540000,2026-02-09T02:19:00Z,1788-1-1-GV,,device_not_recording
1770603600000,2026-02-09T02:20:00Z,1788-1-1-GV,,device_not_recording
1770603660000,2026-02-09T02:21:00Z,1788-1-1-GV,,device_not_recording
1770603720000,2026-02-09T02:22:00Z,1788-1-1-GV,,device_not_recording
1770603780000,2026-02-09T02:23:00Z,1788-1-1-GV,,device_not_recording
1770603840000,2026-02-09T02:24:00Z,1788-1-1-GV,,device_not_recording
1770603900000,2026-02-09T02:25:00Z,1788-1-1-GV,,device_not_recording
1770603960000,2026-02-09T02:26:00Z,1788-1-1-GV,,device_not_recording
1770604020000,2026-02-09T02:27:00Z,1788-1-1-GV,,device_not_recording
1770604080000,2026-02-09T02:28:00Z,1788-1-1-GV,,device_not_recording
1770604140000,2026-02-09T02:29:00Z,1788-1-1-GV,,device_not_recording
1770604200000,2026-02-09T02:30:00Z,1788-1-1-GV,,device_not_recording
1770604260000,2026-02-09T02:31:00Z,1788-1-1-GV,,device_not_recording
1770604320000,2026-02-09T02:32:00Z,1788-1-1-GV,,device_not_recording
1770604380000,2026-02-09T02:33:00Z,1788-1-1-GV,,device_not_recording
1770604440000,2026-02-09T02:34:00Z,1788-1-1-GV,,device_not_recording
1770604500000,2026-02-09T02:35:00Z,1788-1-1-GV,,device_not_recording
1770604560000,2026-02-09T02:36:00Z,1788-1-1-GV,,device_not_recording
1770604620000,2026-02-09T02:37:00Z,1788-1-1-GV,,device_not_recording
1770604680000,2026-02-09T02:38:00Z,1788-1-1-GV,,device_not_recording
1770604740000,2026-02-09T02:39:00Z,1788-1-1-GV,,device_not_recording
1770604800000,2026-02-09T02:40:00Z,1788-1-1-GV,,device_not_recording
1770604860000,2026-02-09T02:41:00Z,1788-1-1-GV,,device_not_recording
1770604920000,2026-02-09T02:42:00Z,1788-1-1-GV,,device_not_recording
1770604980000,2026-02-09T02:43:00Z,1788-1-1-GV,,device_not_recording
