timestamp_unix,timestamp_iso,participant_full_id,respiratory_rate_brpm,missing_value_reason
1769994600000,2026-02-02T01:10:00Z,1788-1-1-GV,,device_not_recording
1769994660000,2026-02-02T01:11:00Z,1788-1-1-GV,,device_not_recording
1769994720000,2026-02-02T01:12:00Z,1788-1-1-GV,,device_not_recording
1769994780000,2026-02-02T01:13:00Z,1788-1-1-GV,,device_not_recording
1769994840000,2026-02-02T01:14:00Z,1788-1-1-GV,,device_not_recording
1769994900000,2026-02-02T01:15:00Z,1788-1-1-GV,,device_not_recording
1769994960000,2026-02-02T01:16:00Z,1788-1-1-GV,,device_not_recording
1769995020000,2026-02-02T01:17:00Z,1788-1-1-GV,,device_not_recording
1769995080000,2026-02-02T01:18:00Z,1788-1-1-GV,,device_not_recording
1769995140000,2026-02-02T01:19:00Z,1788-1-1-GV,,device_not_recording
1769995200000,2026-02-02T01:20:00Z,1788-1-1-GV,,device_not_recording
1769995260000,2026-02-02T01:21:00Z,1788-1-1-GV,,device_not_recording
1769995320000,2026-02-02T01:22:00Z,1788-1-1-GV,,device_not_recording
1769995380000,2026-02-02T01:23:00Z,1788-1-1-GV,,device_not_recording
1769995440000,2026-02-02T01:24:00Z,1788-1-1-GV,,device_not_recording
1769995500000,2026-02-02T01:25:00Z,1788-1-1-GV,,device_not_recording
1769995560000,2026-02-02T01:26:00Z,1788-1-1-GV,,device_not_recording
1769995620000,2026-02-02T01:27:00Z,1788-1-1-GV,,device_not_recording
1769995680000,2026-02-02T01:28:00Z,1788-1-1-GV,,device_not_recording
1769995740000,2026-02-02T01:29:00Z,1788-1-1-GV,,device_not_recording
1769995800000,2026-02-02T01:30:00Z,1788-1-1-GV,,device_not_recording
1769995860000,2026-02-02T01:31:00Z,1788-1-1-GV,,device_not_recording
1769995920000,2026-02-02T01:32:00Z,1788-1-1-GV,,device_not_recording
1769995980000,2026-02-02T01:33:00Z,1788-1-1-GV,,device_not_recording
1769996040000,2026-02-02T01:34:00Z,1788-1-1-GV,,device_not_recording
1769996100000,2026-02-02T01:35:00Z,1788-1-1-GV,,device_not_recording
1769996160000,2026-02-02T01:36:00Z,1788-1-1-GV,,device_not_recording
1769996220000,2026-02-02T01:37:00Z,1788-1-1-GV,,device_not_recording
1769996280000,2026-02-02T01:38:00Z,1788-1-1-GV,,device_not_recording
1769996340000,2026-02-02T01:39:00Z,1788-1-1-GV,,device_not_recording
1769996400000,2026-02-02T01:40:00Z,1788-1-1-GV,,device_not_recording
1769996460000,2026-02-02T01:41:00Z,1788-1-1-GV,,device_not_recording
1769996520000,2026-02-02T01:42:00Z,1788-1-1-GV,,device_not_recording
1769996580000,2026-02-02T01:43:00Z,1788-1-1-GV,,device_not_recording
1769996640000,2026-02-02T01:44:00Z,1788-1-1-GV,,device_not_recording
1769996700000,2026-02-02T01:45:00Z,1788-1-1-GV,,device_not_recording
1769996760000,2026-02-02T01:46:00Z,1788-1-1-GV,,device_not_recording
1769996820000,2026-02-02T01:47:00Z,1788-1-1-GV,,device_not_recording
1769996880000,2026-02-02T01:48:00Z,1788-1-1-GV,,device_not_recording
1769996940000,2026-02-02T01:49:00Z,1788-1-1-GV,,device_not_recording
1769997000000,2026-02-02T01:50:00Z,1788-1-1-GV,,device_not_recording
