timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1740227400000,2025-02-22T12:30:00Z,1788-1-1-PRUEBA,0.069,
1740227460000,2025-02-22T12:31:00Z,1788-1-1-PRUEBA,0.083,
1740227520000,2025-02-22T12:32:00Z,1788-1-1-PRUEBA,0.103,
1740227580000,2025-02-22T12:33:00Z,1788-1-1-PRUEBA,0.111,
1740227640000,2025-02-22T12:34:00Z,1788-1-1-PRUEBA,0.015,
1740227700000,2025-02-22T12:35:00Z,1788-1-1-PRUEBA,0.074,
1740227760000,2025-02-22T12:36:00Z,1788-1-1-PRUEBA,0.059,
1740227820000,2025-02-22T12:37:00Z,1788-1-1-PRUEBA,0.045,
1740227940000,2025-02-22T12:39:00Z,1788-1-1-PRUEBA,0.082,
1740228000000,2025-02-22T12:40:00Z,1788-1-1-PRUEBA,0.012,
1740228060000,2025-02-22T12:41:00Z,1788-1-1-PRUEBA,0.021,
1740228120000,2025-02-22T12:42:00Z,1788-1-1-PRUEBA,0.002,
1740228180000,2025-02-22T12:43:00Z,1788-1-1-PRUEBA,0.002,
1740228240000,2025-02-22T12:44:00Z,1788-1-1-PRUEBA,0.001,
1740228300000,2025-02-22T12:45:00Z,1788-1-1-PRUEBA,0.003,
1740228360000,2025-02-22T12:46:00Z,1788-1-1-PRUEBA,0.007,
1740228420000,2025-02-22T12:47:00Z,1788-1-1-PRUEBA,0.007,
1740228480000,2025-02-22T12:48:00Z,1788-1-1-PRUEBA,0.012,
1740228540000,2025-02-22T12:49:00Z,1788-1-1-PRUEBA,0.006,
1740228600000,2025-02-22T12:50:00Z,1788-1-1-PRUEBA,0.003,
1740228660000,2025-02-22T12:51:00Z,1788-1-1-PRUEBA,0.002,
1740228720000,2025-02-22T12:52:00Z,1788-1-1-PRUEBA,0.005,
1740228780000,2025-02-22T12:53:00Z,1788-1-1-PRUEBA,0.002,
1740228840000,2025-02-22T12:54:00Z,1788-1-1-PRUEBA,0.026,
1740228900000,2025-02-22T12:55:00Z,1788-1-1-PRUEBA,0.021,
1740228960000,2025-02-22T12:56:00Z,1788-1-1-PRUEBA,0.005,
1740229020000,2025-02-22T12:57:00Z,1788-1-1-PRUEBA,0.009,
